state,January_15,February_15,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total
AL,0,0,0,0,0,0,0,0,0,20,350,875,1275,1125,0,3645
AK,0,0,0,0,0,0,0,0,0,100,0,200,0,0,0,300
AZ,0,0,0,0,0,0,3950,500,1100,250,42200,8050,1650,150,0,57850
AR,0,0,0,0,0,0,5400,0,3200,2700,5400,5400,500,0,0,22600
CA,0,0,0,0,0,0,43150,16400,42900,55600,73625,167025,29391,6575,0,434666
CO,0,0,0,0,0,0,8630,0,3200,18109,10125,1175,8900,14400,0,64539
CT,0,0,0,0,0,0,25330,10940.38,65529.62,28300,58100,20425,11425,13275,0,233325
DE,0,0,0,0,0,0,3200,0,250,100,1500,0,675,50,0,5775
DC,0,0,0,0,0,0,6900,8600,9600,750,3550,11350,4350,50,0,45150
FL,0,0,0,0,0,0,66000,27900,29500,12453,25700,87350,13626.25,7300,0,269829.25
GA,0,0,0,0,0,0,2100,2600,10303,2750,3325,6325,2775,4950,0,35128
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,0,0,0,2871,200,0,3071
IL,0,0,0,0,0,0,13800,16450,44000,22913,1110,4725,34725,8650,0,146373
IN,0,0,0,0,0,0,0,0,1000,17200,500,1525,4300,0,0,24525
IA,0,0,0,0,0,0,0,0,7425,1000,2700,3000,38850,5650,0,58625
KS,0,0,0,0,0,0,5400,0,0,50,125,50,100,2750,0,8475
KY,0,0,0,0,0,0,0,0,0,0,0,5200,200,150,0,5550
LA,0,0,0,0,0,0,0,2700,0,0,0,0,1000,0,0,3700
ME,0,0,0,0,0,0,250,0,500,5400,1600,400,300,250,0,8700
MD,0,0,0,0,0,0,9850,82550,31503,7255,4425,28100,60600,10400,0,234683
MA,0,0,0,0,0,0,17050,28700,46570,21350,7850,17300,1875,15425,0,156120
MI,0,0,0,0,0,0,4200,2700,500,50,3200,5325,5400,250,0,21625
MN,0,0,0,0,0,0,5225,3950,25800,103,500,400,1250,3900,0,41128
MS,0,0,0,0,0,0,500,3200,0,0,0,0,0,0,0,3700
MO,0,0,0,0,0,0,5400,0,21700,35700,5000,1701,-2555,3815,0,70761
MT,0,0,0,0,0,0,750,0,0,0,900,1700,50,0,0,3400
NE,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,3000
NV,0,0,0,0,0,0,2800,350,200,500,5900,4000,900,500,0,15150
NH,0,0,0,0,0,0,0,1500,6500,300,800,9400,9325,8095.16,0,35920.16
NJ,0,0,0,0,0,0,1022405,537700,635556.13,248086,216070,613385,215953.22,106778.88,0,3595934.23
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,0,0,0,0,0,0,111450,115520,163311,38375,85575,191475,77356,52725,0,835787
NC,0,0,0,0,0,0,500,0,5900,3150,2195,1050,6500,200,0,19495
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,0,0,0,0,0,0,0,0,300,200,400,4600,350,350,0,6200
OK,0,0,0,0,0,0,0,500,0,650,175,150,650,0,0,2125
OR,0,0,0,0,0,0,6400,1000,0,0,100,150,550,250,0,8450
PA,0,0,0,0,0,0,48375,38750,26500,4475,67500,80050,93801,27990,0,387441
RI,0,0,0,0,0,0,0,0,5400,0,1000,500,775,0,0,7675
SC,0,0,0,0,0,0,0,0,1750,400,1200,4100,1150,450,0,9050
SD,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,500
TN,0,0,0,0,0,0,10800,10600,9650,0,500,3200,4325,2800,0,41875
TX,0,0,0,0,0,0,55900,17845,128450,7725,7350,6975,30685,8275,0,263205
UT,0,0,0,0,0,0,0,0,0,200,0,-1400,100,2700,0,1600
VT,0,0,0,0,0,0,1000,0,0,500,0,0,0,0,0,1500
VA,0,0,0,0,0,0,31850,17520,46090,18250,4849,35965,10301,22475,0,187300
WA,0,0,0,0,0,0,500,0,2700,250,400,175,250,50,0,4325
WV,0,0,0,0,0,0,0,0,0,0,500,0,2000,0,0,2500
WI,0,0,0,0,0,0,0,0,1000,0,1250,0,5400,3050,0,10700
WY,0,0,0,0,0,0,2901,0,0,2700,0,0,2700,0,0,8301
,,,,,,,,,,,,,,,,
